stn;time;uto200s0;gre000z0;tre200s0;ure200s0;fkl010z0;fve010z0
THU;2.02405E+11;6.2;77;18.3;39.6;4.7;4.7
THU;2.02405E+11;6.2;73;18;40.3;4.1;4
THU;2.02405E+11;6.1;65;18.1;39.7;5.2;5.2
THU;2.02405E+11;6.1;63;18.1;39.5;4.6;4.6
THU;2.02405E+11;6.1;53;18.1;39.5;3.9;3.9
THU;2.02405E+11;6.1;47;17.9;40.2;4.1;4.1
THU;2.02405E+11;6;36;17.9;39.7;4.7;4.7
THU;2.02405E+11;6;29;17.7;40;4.9;4.9
THU;2.02405E+11;6;28;17.8;39.2;5.2;5.2
THU;2.02405E+11;5.9;21;17.7;39.2;5.1;5.1
THU;2.02405E+11;5.9;17;17.7;39;4.9;4.9
THU;2.02405E+11;5.9;12;17.6;39.1;5;5
THU;2.02405E+11;5.9;8;17.3;40;4.5;4.5
THU;2.02405E+11;5.8;2;17.4;39.3;5;5
THU;2.02405E+11;5.8;0;17.1;39.9;5;5
THU;2.02405E+11;5.8;0;17;40;5.1;5
THU;2.02405E+11;5.8;0;17;39.8;4.9;4.9
THU;2.02405E+11;5.8;0;16.8;40.3;3.9;3.9
THU;2.02405E+11;5.7;0;16.8;40;3.9;3.9
THU;2.02405E+11;5.8;0;16.8;40.3;4;4
THU;2.02405E+11;5.8;0;16.9;39.8;3.6;3.6
THU;2.02405E+11;5.9;0;16.2;42.8;2.3;2.2
THU;2.02405E+11;6.2;0;14.9;48.8;1.9;1.9
THU;2.02405E+11;6.3;0;14.7;50.5;2.3;2.3
THU;2.02405E+11;6.2;0;15.1;48.4;1.3;0.8
THU;2.02405E+11;6.2;0;14.9;49.2;0.7;0.3
THU;2.02405E+11;6;0;15.8;44.8;1.6;1.6
THU;2.02405E+11;6.2;0;15.2;47.3;0.8;0.3
THU;2.02405E+11;6.3;0;14.5;50.6;0.8;0.8
THU;2.02405E+11;6.9;0;12.8;61.9;2.5;2.4
THU;2.02405E+11;6.8;0;13.5;58.3;1.4;1.3
THU;2.02405E+11;7;0;12.6;63.1;1.9;1.8
THU;2.02405E+11;7;0;12.2;64.7;1.4;1.3
THU;2.02405E+11;6.8;0;13.1;59.8;1.2;1.2
THU;2.02405E+11;6.8;0;12.7;61.6;2.4;2.4
THU;2.02405E+11;6.9;0;12.9;61.4;2.7;2.7
THU;2.02405E+11;7.3;0;11.9;68.8;1.2;0.9
THU;2.02405E+11;7.3;0;11.8;69.4;1;1
THU;2.02405E+11;7.3;0;10.7;74.8;1.8;1.7
THU;2.02405E+11;7.3;0;11;73.5;1.5;1.4
THU;2.02405E+11;7.3;0;11.4;71.2;1.1;1
THU;2.02405E+11;7.2;0;11.3;70.6;0.9;0.8
THU;2.02405E+11;7.5;0;10.7;76.3;0.6;0.5
THU;2.02405E+11;7.5;0;10.3;77.9;1;0.6
THU;2.02405E+11;7.7;0;9.9;82.3;1.1;0.9
THU;2.02405E+11;7.7;0;9.9;81.8;0.6;0.3
THU;2.02405E+11;7.6;0;9.9;81;0.7;0.6
THU;2.02405E+11;7.6;0;9.7;82.7;1.2;1.2
THU;2.02405E+11;8;0;9.5;87.7;0.8;0.8
THU;2.02405E+11;7.7;0;10.6;78.9;0.8;0.8
THU;2.02405E+11;7.8;0;10.3;81.1;1.3;1
THU;2.02405E+11;7.7;0;10.6;79.3;0.5;0.3
THU;2.02405E+11;7.8;0;10.7;79.3;1.1;1.1
THU;2.02405E+11;8;0;10.4;82.9;0.9;0.8
THU;2.02405E+11;8.1;0;10.1;86.1;0.2;0.2
THU;2.02405E+11;8.2;0;10.3;85.5;0.6;0.5
THU;2.02405E+11;8.1;0;10.4;83.7;0.5;0.5
THU;2.02405E+11;8.1;0;10.4;83.7;0.5;0.5
THU;2.02405E+11;8.5;0;9.8;91.3;0.2;0.2
THU;2.02405E+11;8.4;0;9.8;91.1;0.6;0.6
THU;2.02405E+11;8.4;0;9.9;89.9;0.8;0.8
THU;2.02405E+11;8.4;0;9.8;90.8;0.5;0.4
THU;2.02405E+11;8.3;0;10.2;87.2;0.5;0.5
THU;2.02405E+11;8.3;0;10.3;87.3;0.4;0.2
THU;2.02405E+11;8.3;0;10.4;86.4;0.9;0.9
THU;2.02405E+11;8.2;0;10.5;84.4;0.6;0.6
THU;2.02405E+11;8.3;0;10.4;85.6;0.6;0.5
THU;2.02405E+11;8.3;0;10.1;88.6;0.6;0.6
THU;2.02405E+11;8.5;0;9.9;91;0.6;0.2
THU;2.02405E+11;8.5;0;9.8;91.6;0.4;0.4
THU;2.02405E+11;8.4;0;10;89.8;0.4;0.4
THU;2.02405E+11;8.6;0;9.6;93.5;0.8;0.8
THU;2.02405E+11;8.7;0;9.6;94.7;0.8;0.8
THU;2.02405E+11;8.7;7;9.8;93.9;0.5;0.4
THU;2.02405E+11;8.6;20;10.2;90.1;0.3;0.3
THU;2.02405E+11;8.6;16;10;91;0.3;0.3
THU;2.02405E+11;8.8;19;9.9;94.2;0.2;0.2
THU;2.02405E+11;9;34;10;95.2;0.7;0.7
THU;2.02405E+11;8.9;44;10.5;92.2;0.4;0.4
THU;2.02405E+11;9.2;52;10.9;92.4;0.1;0.1
THU;2.02405E+11;9.4;76;11.3;92.1;0.2;0.2
THU;2.02405E+11;9.2;96;11.7;87.8;0.2;0.1
THU;2.02405E+11;9;94;11.9;84.6;0.3;0.2
THU;2.02405E+11;9;106;12.1;83.7;0.2;0.2
THU;2.02405E+11;9;173;12.4;82.6;0.3;0.1
THU;2.02405E+11;8.8;201;12.7;79.1;0.5;0.5
THU;2.02405E+11;8.7;190;13;77.1;0.7;0.7
THU;2.02405E+11;8.6;138;13;75.6;0.5;0.5
THU;2.02405E+11;8.6;168;13.1;75.1;0.4;0.4
THU;2.02405E+11;8.8;202;13.3;75.9;0.8;0.8
THU;2.02405E+11;8.5;214;13.4;73.4;1.1;1
THU;2.02405E+11;8.3;227;13.5;71.3;1;1
